time,PC4_AMS,PROF_2,PZB,PROF_1,MW04,PP_202,PC1_AMS_BIS,MW07,MW05,PIEZ13,PIEZM7,PROF_5,MW08,PROF_3,PROF_6,MW02,MW01,P1003,MW03,MW06,PROF_4,PZ7,PIEZM8,PIEZM1,PIEZM2,PIEZM3,PZP1_BIS,P1002,PIEZ14,PIEZM6,PIEZ15,PIEZ17,PIEZ16,PIEZM5,PIEZ11,PIEZ9,PROF_11,PC2_AMS,PC3_AMS,PIEZ8,PIEZ7,PIEZ6,PIEZ5,PIEZ3,PIEZ2,PIEZ1,PROF_21,PZ18,PZ20,PZ4,PZ1,MM35,MM97,MM32,PZ_ALER,PROF_22,SP1_PZEST
339754363.2838,7.938888507,20.08814742,2.075076320,0.2149339330E-06,90.44939749,0.9015209424E-05,28.49649357,13.15606232,6.210342474,12.07891999,11.73809961,74.65205533,15.60826200,0.5731929435E-02,78.62029151,155.5552412,200.0000000,5.539409736,80.98057440,60.05792070,10.68128028,52.06072051,15.75404836,2.981486244,6.727982148,15.32702098,-0.8372669075E-07,-0.1481381041E-02,7.485319642,5.285629824,4.770981203,2.883173688,3.644602772,10.20423518,10.60281281,10.28186039,0.4467477131E-07,-0.1157547080E-04,0.2847084588,8.019885134,5.789799138,3.932781367,2.791605027,1.450115841,0.7814822014,0.3374446854,0.2676332236E-10,0.6289253490E-04,0.1293331679E-10,-0.1889929297E-08,-0.4906267395E-25,0.1899244836E-01,-0.4992302914E-20,-0.2722958227E-20,-0.1036338482E-08,0.7053618006E-06,-0.5457565773E-17
713484162.8959,8.534378626,20.34611542,2.191584200,0.2296283192E-06,93.57862211,0.9850731843E-05,30.42278665,14.94847467,6.948312445,14.96218757,13.45401407,85.16055868,18.48438454,0.5794038574E-02,87.28951082,158.0594734,200.0000000,5.666881948,85.12880544,64.84236155,11.33004866,57.93384241,18.85477673,3.256323370,7.528658928,18.75431923,-0.9145445302E-07,-0.1541085661E-02,9.229509271,6.409037808,5.858994274,3.513047196,4.475873513,12.43497289,12.86900060,12.18989690,0.4786143626E-07,-0.1201634765E-04,0.3002555783,9.364246578,6.655051506,4.440136321,3.124792580,1.596653671,0.8525467758,0.3650977772,0.3007266163E-10,0.7006780196E-04,0.1741483928E-10,-0.2046695760E-08,-0.1172830419E-24,0.2306431976E-01,-0.9284700499E-20,-0.5957197933E-20,-0.1141587774E-08,0.7693319723E-06,-0.4800662337E-17
1124586942.469,8.556072295,20.34867008,2.195042427,0.2300607149E-06,93.63541095,0.9877406656E-05,30.48821332,15.07037634,6.992791954,15.28540844,13.57366124,85.89114606,18.74308564,0.5793625978E-02,87.77094734,158.0844543,200.0000000,5.668433847,85.24526117,65.04890064,11.35109071,58.26617265,19.14371984,3.268445636,7.574116360,19.11567419,-0.9176744018E-07,-0.1542249675E-02,9.420056902,6.521062757,5.975210936,3.577465767,4.564613877,12.66426738,13.09690397,12.35713066,0.4796309987E-07,-0.1202300157E-04,0.3006666312,9.470821272,6.716259412,4.471165947,3.143653801,1.603696078,0.8556251681,0.3661786673,0.3020670285E-10,0.7044849195E-04,0.1773781763E-10,-0.2052786916E-08,-0.1607528530E-24,0.2347078826E-01,-0.1097258928E-19,-0.7722533314E-20,-0.1145668056E-08,0.7717029684E-06,-0.1984339955E-17
1576800000.000,8.556585960,20.34869397,2.195114371,0.2300683512E-06,93.63613640,0.9877934612E-05,30.48972319,15.07588564,6.994594543,15.30811567,13.57898345,85.92459598,18.75816932,0.5793607206E-02,87.78888379,158.0846508,200.0000000,5.668447072,85.24765969,65.05530116,11.35157564,58.27874101,19.16073943,3.268787253,7.575762862,19.13964655,-0.9177539368E-07,-0.1542264405E-02,9.433082591,6.528059416,5.982971357,3.581582194,4.570531478,12.67906023,13.11130037,12.36637746,0.4796482862E-07,-0.1202302813E-04,0.3006736326,9.476160419,6.718998556,4.472367959,3.144330047,1.603910863,0.8557098891,0.3662055263,0.3020382581E-10,0.7046094648E-04,0.1774717821E-10,-0.2052923521E-08,-0.1776096646E-24,0.2349598131E-01,-0.1137820940E-19,-0.8313686845E-20,-0.1145654016E-08,0.7717301143E-06,-0.1346376769E-17
