time,MM97,MM32,PZ_ALER,PROF_22,SP1_PZEST,SP2_PZ1,PROF_11,PROF_21,PROF_1,PROF_2,PROF_3,PROF_4,PROF_5,PROF_6,P1002,P1003,PC1_AMS_BIS,PC2_AMS,PC3_AMS,PC4_AMS,PIEZ1,PIEZ11,PIEZ13,PIEZ14,PIEZ15,PIEZ16,PIEZ17,PIEZ2,PIEZ3,PIEZ5,PIEZ6,PIEZ7,PIEZ8,PIEZ9,PIEZM1,PIEZM2,PIEZM3,PIEZM5,PIEZM6,PIEZM7,PIEZM8,PP202,PZ18,PZ20,PZ4,PZ7,PZB,PZP1_BIS,PZ1,MM35
339754363.2838,101.6936593,100.7735294,100.1217076,100.0924803,100.4208691,100.4984484,100.5259132,100.2720116,101.0381482,101.0399707,101.0771565,100.9351428,100.2447325,100.4713572,100.6879552,100.7402847,100.6407348,100.6138580,100.5011855,100.4285569,100.3117294,99.73624781,99.63055071,99.58878778,99.57208479,99.54886689,99.58617909,100.2650274,100.2178471,100.1381157,100.1039836,100.0200994,99.95011572,99.87876472,100.2854082,100.1843766,99.77400198,99.70408228,99.66007420,100.0939444,99.89005367,100.8430185,100.0755669,100.0962986,100.6975183,100.5263223,101.0065680,100.8150183,100.6653747,99.51485101
713484162.8959,101.6937037,100.7735670,100.1216766,100.0924210,100.4207830,100.4984008,100.5259190,100.2719914,101.0381905,101.0399419,101.0771842,100.9351049,100.2447264,100.4713584,100.6879593,100.7402681,100.6406968,100.6138350,100.5011694,100.4285134,100.3117492,99.73630522,99.63056658,99.58880919,99.57210998,99.54890380,99.58620826,100.2650624,100.2178741,100.1380875,100.1039521,100.0201511,99.95013499,99.87874000,100.2854290,100.1843634,99.77402811,99.70413624,99.66009249,100.0939892,99.89009531,100.8430232,100.0755273,100.0962880,100.6975270,100.5263885,101.0065298,100.8150304,100.6653638,99.51487713
1124586942.469,101.6937383,100.7736012,100.1216609,100.0923809,100.4207329,100.4983641,100.5259259,100.2719775,101.0382197,101.0399247,101.0772089,100.9350584,100.2447535,100.4713886,100.6879564,100.7402528,100.6406640,100.6138139,100.5011496,100.4284746,100.3117676,99.73633417,99.63060375,99.58883718,99.57213834,99.54892874,99.58623660,100.2650895,100.2178985,100.1380791,100.1039445,100.0201117,99.95013924,99.87883588,100.2854467,100.1843846,99.77406976,99.70416467,99.66013092,100.0939685,99.89012627,100.8430287,100.0754961,100.0962597,100.6975274,100.5263533,101.0064918,100.8150413,100.6653583,99.51490883
1576800000.000,101.6937656,100.7736310,100.1216338,100.0923508,100.4206656,100.4983203,100.5259303,100.2719421,101.0382403,101.0399118,101.0772288,100.9350194,100.2447492,100.4713858,100.6879511,100.7402388,100.6406331,100.6137951,100.5011304,100.4284416,100.3117825,99.73637771,99.63063116,99.58886723,99.57216803,99.54895974,99.58626699,100.2651124,100.2179169,100.1380702,100.1039323,100.0201559,99.95016686,99.87881926,100.2854563,100.1843717,99.77410408,99.70420355,99.66016046,100.0940006,99.89016837,100.8430355,100.0754726,100.0962504,100.6975233,100.5264018,101.0064553,100.8150499,100.6653556,99.51493577
