ID,Z_ToC_masl,Z_PC,X,Y,Falda,Date_meas,GW_Depth_m,GW_masl
PROF_11,107.409999999999997,,1519175.270000000018626,5031653.179999999701977,Prima_Falda,settembre-19,6.750000000000000,100.659999999999997
PROF_21,107.040000000000006,,1518969.179999999934807,5031298.379999999888241,Prima_Falda,settembre-19,6.840000000000000,100.200000000000003
PROF_1,107.590000000000003,,1519239.639999999897555,5032212.820000000298023,Prima_Falda,settembre-19,6.430000000000000,101.159999999999997
PROF_2,106.730000000000004,,1519605.280000000027940,5032288.339999999850988,Prima_Falda,settembre-19,5.510000000000000,101.219999999999999
PROF_3,107.120000000000005,,1519413.989999999990687,5032288.889999999664724,Prima_Falda,settembre-19,5.900000000000000,101.219999999999999
PROF_4,106.079999999999998,,1520080.659999999916181,5032335.099999999627471,Prima_Falda,settembre-19,4.780000000000000,101.299999999999997
PROF_5,108.489999999999995,,1520023.459999999962747,5031700.099999999627471,Prima_Falda,settembre-19,8.109999999999999,100.379999999999995
PROF_6,108.439999999999998,,1520052.709999999962747,5031905.400000000372529,Prima_Falda,settembre-19,7.800000000000000,100.640000000000001
P1002,108.730000000000004,,1519337.370000000111759,5031871.519999999552965,Prima_Falda,settembre-19,7.930000000000000,100.799999999999997
P1003,107.290000000000006,,1519457.770000000018626,5031938.889999999664724,Prima_Falda,settembre-19,6.430000000000000,100.859999999999999
PC1_AMS_BIS,107.680000000000007,,1519506.060000000055879,5031836.240000001154840,Prima_Falda,settembre-19,6.890000000000000,100.790000000000006
PC2_AMS,106.480000000000004,,1519264.860000000102445,5031768.339999999850988,Prima_Falda,settembre-19,5.750000000000000,100.730000000000004
PC3_AMS,106.900000000000006,,1519388.460000000195578,5031690.360000000335276,Prima_Falda,settembre-19,6.230000000000000,100.670000000000002
PC4_AMS,109.310000000000002,,1519510.719999999972060,5031648.169999999925494,Prima_Falda,settembre-19,8.720000000000002,100.590000000000003
PIEZ1,107.239999999999995,,1519405.919999999925494,5031518.880000000819564,Prima_Falda,settembre-19,6.740000000000000,100.500000000000000
PIEZ11,108.730000000000004,,1519749.100000000093132,5031175.040000000968575,Prima_Falda,settembre-19,9.060000000000000,99.670000000000002
PIEZ13,106.370000000000005,,1519816.850000000093132,5031116.150000000372529,Prima_Falda,settembre-19,6.780000000000000,99.590000000000003
PIEZ14,107.319999999999993,,1519766.429999999934807,5031051.200000000186265,Prima_Falda,settembre-19,7.750000000000000,99.569999999999993
PIEZ15,106.299999999999997,,1519727.979999999981374,5031003.309999999590218,Prima_Falda,settembre-19,6.690000000000000,99.609999999999999
PIEZ16,106.400000000000006,,1519692.489999999990687,5030961.099999999627471,Prima_Falda,settembre-19,6.850000000000000,99.549999999999997
PIEZ17,105.439999999999998,,1519665.169999999692664,5030984.620000001043081,Prima_Falda,settembre-19,5.870000000000000,99.569999999999993
PIEZ2,107.290000000000006,,1519438.489999999990687,5031490.610000000335276,Prima_Falda,settembre-19,6.820000000000000,100.469999999999999
PIEZ3,108.180000000000007,,1519470.080000000074506,5031465.259999999776483,Prima_Falda,settembre-19,7.730000000000000,100.450000000000003
PIEZ5,107.689999999999998,,1519522.519999999785796,5031407.429999999701977,Prima_Falda,settembre-19,7.330000000000000,100.359999999999999
PIEZ6,107.079999999999998,,1519554.010000000009313,5031387.209999999962747,Prima_Falda,settembre-19,6.780000000000000,100.299999999999997
PIEZ7,107.719999999999999,,1519598.879999999888241,5031343.519999999552965,Prima_Falda,settembre-19,7.570000000000000,100.150000000000006
PIEZ8,107.519999999999996,,1519646.439999999944121,5031301.069999999366701,Prima_Falda,settembre-19,7.620000000000000,99.900000000000006
