time,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1,GHB1
339754363.2838,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886
713484162.8959,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886
1124586942.469,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886
1576800000.000,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886,-0.458191886
