time,PC4_AMS,PROF_2,PZB,PROF_1,MW04,PP_202,PC1_AMS_BIS,MW07,MW05,PIEZ13,PIEZM7,PROF_5,MW08,PROF_3,PROF_6,MW02,MW01,P1003,MW03,MW06,PROF_4,PZ7,PIEZM8,PIEZM1,PIEZM2,PIEZM3,PZP1_BIS,P1002,PIEZ14,PIEZM6,PIEZ15,PIEZ17,PIEZ16,PIEZM5,PIEZ11,PIEZ9,PROF_11,PC2_AMS,PC3_AMS,PIEZ8,PIEZ7,PIEZ6,PIEZ5,PIEZ3,PIEZ2,PIEZ1,PROF_21,PZ18,PZ20,PZ4,PZ1,MM35,MM97,MM32,PZ_ALER,PROF_22,SP1_PZEST
339754363.2838,14.91997663,19.26016742,2.907933633,0.2227700513E-06,117.7346187,0.2638785727E-04,81.92461712,57.83267605,21.28742563,38.72240536,38.00434205,51.84845954,46.88314340,0.4583953459E-02,78.27233342,163.4971260,200.0000000,5.395917959,111.1323649,112.2023230,18.06328611,69.38799534,49.78599517,5.205639288,19.27206600,48.74076935,-0.1636655075E-06,-0.9977439375E-03,24.36048876,17.13792741,15.52366254,9.217263054,11.80518263,32.95007672,34.18403464,33.15391016,-0.5854159289E-08,0.3734328744E-05,0.1202135042,25.81565162,17.84715171,10.50429810,6.429123457,2.290925932,0.8881160175,0.2541050299,-0.5003427854E-11,0.4584540183E-05,-0.1034088933E-11,-0.1376720389E-08,0.3419961413E-25,0.3623028589E-01,0.3135973358E-20,0.2112848363E-20,0.1568039188E-09,-0.1175615777E-06,-0.5442022953E-17
713484162.8959,16.09091989,19.52216912,3.066324002,0.2336215178E-06,123.5231609,0.2847635808E-04,87.65005085,65.03280832,23.88044459,47.21563031,43.11578328,58.80259668,55.18538227,0.4608234769E-02,86.32486501,166.7887630,200.0000000,5.562872637,117.5015708,121.3842968,19.08297854,76.69340051,58.70691421,5.696476190,21.47112054,58.69518967,-0.1792955247E-06,-0.1045427029E-02,29.60493795,20.51848134,18.81323677,11.10103378,14.31550316,39.56983677,40.89248547,38.80488864,-0.6732134356E-08,0.4050783766E-05,0.1279308686,29.82028769,20.35251318,11.81052886,7.182156103,2.526668849,0.9726303365,0.2765387767,-0.5725676029E-11,0.5011739926E-05,-0.1437013277E-11,-0.1615615238E-08,0.7418323102E-25,0.4379360894E-01,0.5107846732E-20,0.4143224583E-20,0.1859626395E-09,-0.1342721201E-06,-0.1022830101E-16
1124586942.469,16.13592698,19.52486641,3.070864916,0.2337743975E-06,123.6720450,0.2855129515E-04,87.85026172,65.46411723,24.03321597,48.08551023,43.44249837,59.26923601,55.88027144,0.4606855915E-02,86.73526965,166.8307171,200.0000000,5.565660193,117.6916843,121.7578629,19.11310703,77.07160316,59.45784234,5.718793135,21.59119692,59.64650373,-0.1800146957E-06,-0.1046569397E-02,30.13222347,20.83046477,19.13882373,11.28094817,14.56476470,40.19209646,41.50879042,39.25772408,-0.6789936897E-08,0.4063808901E-05,0.1281731584,30.11330775,20.51901222,11.88779975,7.224200701,2.538287920,0.9764919695,0.2774914395,-0.5760222430E-11,0.5027480154E-05,-0.1466068428E-11,-0.1632750379E-08,0.9559530963E-25,0.4452949970E-01,0.5661621317E-20,0.5032458423E-20,0.1876496674E-09,-0.1353323144E-06,-0.1222148745E-16
1576800000.000,16.13705438,19.52489221,3.070955714,0.2337717541E-06,123.6746956,0.2855305451E-04,87.85491596,65.48068270,24.03901336,48.14097264,43.45572325,59.29028374,55.91688830,0.4606817878E-02,86.74917809,166.8311485,200.0000000,5.565693381,117.6956038,121.7679092,19.11372733,77.08447540,59.49742650,5.719444737,21.59537656,59.70321845,-0.1800362852E-06,-0.1046587644E-02,30.16522848,20.84842134,19.15888776,11.29165204,14.58017064,40.22858059,41.54412517,39.28046498,-0.6792284095E-08,0.4064159507E-05,0.1281781066,30.12678688,20.52599317,11.89069706,7.225691598,2.538653301,0.9766048193,0.2775173575,-0.5760996139E-11,0.5027659022E-05,-0.1468179028E-11,-0.1633498624E-08,0.1025845977E-24,0.4457397662E-01,0.5752167497E-20,0.5267781472E-20,0.1876886160E-09,-0.1353725032E-06,-0.1256507500E-16
