time,MM97,MM32,PZ_ALER,PROF_22,SP1_PZEST,SP2_PZ1,PROF_11,PROF_21,PROF_1,PROF_2,PROF_3,PROF_4,PROF_5,PROF_6,P1002,P1003,PC1_AMS_BIS,PC2_AMS,PC3_AMS,PC4_AMS,PIEZ1,PIEZ11,PIEZ13,PIEZ14,PIEZ15,PIEZ16,PIEZ17,PIEZ2,PIEZ3,PIEZ5,PIEZ6,PIEZ7,PIEZ8,PIEZ9,PIEZM1,PIEZM2,PIEZM3,PIEZM5,PIEZM6,PIEZM7,PIEZM8,PP202,PZ18,PZ20,PZ4,PZ7,PZB,PZP1_BIS,PZ1,MM35
339754363.2838,101.6307262,100.7158477,100.0467800,100.0118274,100.3438081,100.4155504,100.4001834,100.1875158,100.8860667,100.8782626,100.9164920,100.8199695,100.1346352,100.3538319,100.5227924,100.5491276,100.4345800,100.4673414,100.3478298,100.2690458,100.1854298,99.65937599,99.56092854,99.52262567,99.50774686,99.48644567,99.52187977,100.1421472,100.0987765,100.0261558,99.99478676,99.91899831,99.85535358,99.79030010,100.1544810,100.0632804,99.69386030,99.62962577,99.58979251,99.98221016,99.79990041,100.6813897,99.99159662,100.0288136,100.5584171,100.4128615,100.8513231,100.6643080,100.6559501,99.46398838
713484162.8959,101.6307354,100.7158719,100.0467683,100.0118164,100.3438146,100.4155605,100.4001598,100.1874964,100.8860873,100.8782653,100.9164987,100.8199610,100.1346294,100.3538268,100.5228071,100.5491317,100.4346144,100.4673423,100.3478308,100.2690410,100.1854231,99.65939316,99.56090792,99.52260739,99.50772678,99.48643824,99.52186902,100.1421401,100.0987648,100.0261615,99.99478453,99.91898765,99.85534427,99.79029458,100.1544630,100.0632521,99.69385068,99.62963449,99.58979608,99.98221942,99.79989082,100.6813794,99.99158443,100.0288068,100.5584019,100.4128665,100.8513315,100.6642956,100.6559761,99.46399608
1124586942.469,101.6307423,100.7158803,100.0467531,100.0118021,100.3438149,100.4155644,100.4001502,100.1874858,100.8861002,100.8782707,100.9165045,100.8199607,100.1346318,100.3538242,100.5228248,100.5491438,100.4346281,100.4673413,100.3478306,100.2690424,100.1854144,99.65938856,99.56089856,99.52259859,99.50772729,99.48643639,99.52187224,100.1421267,100.0987512,100.0261517,99.99477077,99.91897387,99.85533687,99.79028638,100.1544480,100.0632349,99.69384363,99.62963058,99.58979654,99.98220914,99.79987953,100.6813746,99.99156906,100.0287978,100.5583999,100.4128702,100.8513330,100.6642964,100.6559891,99.46398905
1576800000.000,101.6307475,100.7158840,100.0467356,100.0117836,100.3438180,100.4155635,100.4001348,100.1874757,100.8861130,100.8782773,100.9165122,100.8199597,100.1346332,100.3538251,100.5228380,100.5491547,100.4346387,100.4673376,100.3478314,100.2690442,100.1854052,99.65938535,99.56089581,99.52260038,99.50772509,99.48643790,99.52187208,100.1421165,100.0987402,100.0261419,99.99475904,99.91896186,99.85532858,99.79028013,100.1544354,100.0632181,99.69383580,99.62962673,99.58979498,99.98219734,99.79986953,100.6813720,99.99156031,100.0287858,100.5583955,100.4128757,100.8513360,100.6642894,100.6559939,99.46398445
