time,H_0_7_4,H_2_74
1.000000000000,45.02055177,45.09628550
31.41666666667,45.01716833,45.07748308
61.83333333333,45.01562518,45.07069758
92.25000000000,45.01460160,45.06592735
122.6666666667,45.01382615,45.06221789
153.0833333333,45.01319623,45.05916113
183.5000000000,45.01266248,45.05655024
213.9166666667,45.01388528,45.06365701
244.3333333333,45.01425035,45.06505422
274.7500000000,45.01440185,45.06566561
305.1666666667,45.01446894,45.06593963
335.5833333333,45.01449604,45.06604499
366.0000000000,45.01450849,45.06609888
