time,DD_0_7_4,DD_2_7_4
1.000000000000,4.979448230,4.903714504
31.41666666667,4.982831668,4.922516920
61.83333333333,4.984374824,4.929302419
92.25000000000,4.985398404,4.934072651
122.6666666667,4.986173845,4.937782108
153.0833333333,4.986803769,4.940838873
183.5000000000,4.987281243,4.943136608
213.9166666667,4.986088684,4.936227935
244.3333333333,4.985732160,4.934863984
274.7500000000,4.985584800,4.934270430
305.1666666667,4.985520146,4.934007356
335.5833333333,4.985494055,4.933906141
366.0000000000,4.985482341,4.933855774
