time,DD_0_7_4,DD_2_74
1.000000000000,4.979448230,4.903714504
31.41666666667,4.983571336,4.926644540
61.83333333333,4.985611975,4.935813778
92.25000000000,4.987033918,4.942519650
122.6666666667,4.988139498,4.947840917
153.0833333333,4.989053058,4.952290411
183.5000000000,4.989834674,4.956122231
213.9166666667,4.990516633,4.959477504
244.3333333333,4.991118003,4.962442068
274.7500000000,4.991651347,4.965074152
305.1666666667,4.992125821,4.967417177
335.5833333333,4.992548627,4.969505863
366.0000000000,4.992925740,4.971369280
